wheel,timestamp,error
left,1588319927.6,0.0566540102985
right,1588319927.61,0.0525122166612
left,1588319927.61,0.0563347235098
left,1588319927.62,0.0560238777735
right,1588319927.62,0.0522043832707
right,1588319927.63,0.0519039567361
left,1588319927.63,0.0557211528288
right,1588319927.64,0.0516107015284
left,1588319927.64,0.05542625557
left,1588319927.65,0.0551388927898
right,1588319927.65,0.0513243977033
right,1588319927.66,0.0510448401156
left,1588319927.66,0.0548587994335
right,1588319927.67,0.0507718269281
left,1588319927.67,0.054585730439
right,1588319927.68,0.0505051669468
left,1588319927.68,0.0543194387524
right,1588319927.69,0.0502446827366
left,1588319927.69,0.0540597014684
left,1588319927.7,0.0538063122634
right,1588319927.7,0.0499902013444
right,1588319927.71,0.0497415550116
left,1588319927.71,0.053559063501
right,1588319927.72,0.049498588338
left,1588319927.72,0.0533177651632
right,1588319927.73,0.0492611509808
left,1588319927.73,0.0530822428482
left,1588319927.74,0.0528523210069
right,1588319927.74,0.0490290969841
left,1588319927.75,0.0526278368776
right,1588319927.75,0.0488022870857
right,1588319927.76,0.0485805893978
left,1588319927.76,0.0524086392693
left,1588319927.77,0.05219458047
right,1588319927.77,0.0483638748802
right,1588319927.78,0.0481520228106
left,1588319927.78,0.0519855157038
left,1588319927.79,0.0517813173533
right,1588319927.79,0.0479449134578
right,1588319927.8,0.0477424320954
left,1588319927.8,0.0515818598351
left,1588319927.81,0.0513870128166
right,1588319927.81,0.0475444699867
left,1588319927.82,0.0511966645345
right,1588319927.82,0.0473509247312
right,1588319927.83,0.0471616907243
left,1588319927.83,0.0510107108782
right,1588319927.84,0.0469766666243
left,1588319927.84,0.050829044106
left,1588319927.85,0.0506515485935
right,1588319927.85,0.0467957595939
left,1588319927.86,0.0504781337565
right,1588319927.86,0.0466188851131
right,1588319927.87,0.0464459480095
left,1588319927.87,0.0503087170355
right,1588319927.88,0.0462768579209
left,1588319927.88,0.0501432050573
right,1588319927.89,0.0461115314174
left,1588319927.89,0.0499814955892
left,1588319927.9,0.049823508037
right,1588319927.9,0.0459498989452
right,1588319927.91,0.0457918798455
left,1588319927.91,0.0496691800722
right,1588319927.92,0.0456373907493
left,1588319927.92,0.0495184349197
right,1588319927.93,0.0454863516517
left,1588319927.93,0.0493711844241
right,1588319927.94,0.0453387015733
left,1588319927.94,0.0492273457171
left,1588319927.95,0.0490868627987
right,1588319927.95,0.0451943792594
left,1588319927.96,0.0489496841998
right,1588319927.96,0.0450533120772
right,1588319927.97,0.0449154233905
left,1588319927.97,0.0488157411375
right,1588319927.98,0.0447806482985
left,1588319927.98,0.0486849505279
right,1588319927.99,0.0446489349166
left,1588319927.99,0.0485572518724
right,1588319928.0,0.0445202293934
left,1588319928.0,0.0484325986065
right,1588319928.01,0.0443944725314
left,1588319928.01,0.0483109463299
right,1588319928.02,0.0442715915625
left,1588319928.02,0.0481922406612
right,1588319928.03,0.0441515305489
left,1588319928.03,0.0480764067975
right,1588319928.04,0.044034244512
left,1588319928.04,0.047963391877
right,1588319928.05,0.0439196854633
left,1588319928.05,0.047853154854
right,1588319928.06,0.0438078052946
left,1588319928.06,0.0477456546122
right,1588319928.07,0.0436985474527
left,1588319928.07,0.0476408517128
right,1588319928.08,0.0435918497485
left,1588319928.08,0.0475386939465
right,1588319928.09,0.0434876758209
left,1588319928.09,0.0474391250072
right,1588319928.1,0.0433859823851
left,1588319928.1,0.047342106011
left,1588319928.11,0.0472475990967
right,1588319928.11,0.0432867258752
left,1588319928.12,0.0471555654047
right,1588319928.12,0.0431898623801
right,1588319928.13,0.0430953450268
left,1588319928.13,0.0470659668065
left,1588319928.14,0.0469787703218
right,1588319928.14,0.0430031272654
right,1588319928.15,0.0429131758926
left,1588319928.15,0.0468939336966
left,1588319928.16,0.0468114199574
right,1588319928.16,0.0428254506545
left,1588319928.17,0.0467311925988
right,1588319928.17,0.0427399109009
left,1588319928.18,0.0466532135109
right,1588319928.18,0.0426565158761
right,1588319928.19,0.0425752244236
left,1588319928.19,0.0465774438487
left,1588319928.2,0.0465038551789
right,1588319928.2,0.0424960029908
left,1588319928.21,0.0464324268761
right,1588319928.21,0.0424188238175
right,1588319928.22,0.042343647146
left,1588319928.22,0.0463631250307
right,1588319928.23,-0.931053778928
left,1588319928.23,-0.923293336201
right,1588319928.24,-0.918022024989
left,1588319928.24,-0.909548278104
right,1588319928.25,-0.904589933326
left,1588319928.25,-0.895692973002
right,1588319928.26,-0.891243210783
left,1588319928.26,-0.881953802699
right,1588319928.27,-0.878008807117
left,1588319928.27,-0.868338553447
right,1588319928.28,-0.864887204381
left,1588319928.28,-0.854842243205
right,1588319928.29,-0.85187391838
left,1588319928.29,-0.84145997774
right,1588319928.3,-0.838963598205
left,1588319928.3,-0.828187699505
right,1588319928.31,-0.826151018695
left,1588319928.31,-0.815022076891
right,1588319928.32,-0.813431361652
left,1588319928.32,-0.801960407432
left,1588319928.33,-0.789000565606
right,1588319928.33,-0.800800328121
right,1588319928.34,-0.788254209035
left,1588319928.34,-0.776140981017
right,1588319928.35,-0.775789904735
left,1588319928.35,-0.763380626151
left,1588319928.36,-0.750718983911
right,1588319928.36,-0.763404927959
left,1588319928.37,-0.738156022316
right,1588319928.37,-0.751097412711
right,1588319928.38,-0.738866086965
left,1588319928.38,-0.725692174629
right,1588319928.39,-0.726710245377
left,1588319928.39,-0.713328281313
right,1588319928.4,-0.714629718656
left,1588319928.4,-0.701065566342
right,1588319928.41,-0.702624826561
left,1588319928.41,-0.688905571056
right,1588319928.42,-0.690696324348
left,1588319928.42,-0.676850120324
right,1588319928.43,-0.678845363657
left,1588319928.43,-0.664901257218
right,1588319928.44,-0.667073427612
left,1588319928.44,-0.65306119425
right,1588319928.45,-0.655382276619
left,1588319928.45,-0.641332262066
right,1588319928.46,-0.64377389102
left,1588319928.46,-0.629716855854
right,1588319928.47,-0.632250415141
left,1588319928.47,-0.618217384959
right,1588319928.48,-0.620814096284
left,1588319928.48,-0.606836222075
right,1588319928.49,-0.609467233186
left,1588319928.49,-0.595575652593
right,1588319928.5,-0.598212172341
left,1588319928.5,-0.584438286147
right,1588319928.51,-0.587089835858
left,1588319928.51,-0.573468854683
right,1588319928.52,-0.576162009346
left,1588319928.52,-0.562716289818
right,1588319928.53,-0.565429972638
left,1588319928.53,-0.552178417588
right,1588319928.54,-0.55487805108
left,1588319928.54,-0.541836041538
right,1588319928.55,-0.544505392153
left,1588319928.55,-0.531690914177
right,1588319928.56,-0.534318627039
left,1588319928.56,-0.521742120546
right,1588319928.57,-0.52430515202
left,1588319928.57,-0.511984357342
right,1588319928.58,-0.514462352627
left,1588319928.58,-0.502412417421
left,1588319928.59,-0.493024091562
right,1588319928.59,-0.504789126443
left,1588319928.6,-0.48381338537
right,1588319928.6,-0.495281232535
right,1588319928.61,-0.48593950831
left,1588319928.61,-0.474778930963
right,1588319928.62,-0.476757267105
left,1588319928.62,-0.4659150004
right,1588319928.63,-0.467741847118
left,1588319928.63,-0.457224822377
left,1588319928.64,-0.448698847625
right,1588319928.64,-0.458877251775
right,1588319928.65,-0.450179637548
left,1588319928.65,-0.440341477837
right,1588319928.66,-0.441626330695
left,1588319928.66,-0.432141786067
left,1588319928.67,-0.424104392327
right,1588319928.67,-0.433234319664
left,1588319928.68,-0.416225166518
right,1588319928.68,-0.424997957283
right,1588319928.69,-0.416900539443
left,1588319928.69,-0.408496234083
right,1588319928.7,-0.408957735694
left,1588319928.7,-0.400920895416
right,1588319928.71,-0.401163254181
left,1588319928.71,-0.393495089434
right,1588319928.72,-0.393518774697
left,1588319928.72,-0.386218920728
right,1588319928.73,-0.386005036469
left,1588319928.73,-0.379081013703
right,1588319928.74,-0.378629073492
left,1588319928.74,-0.372083671881
right,1588319928.75,-0.371393278374
left,1588319928.75,-0.365225753373
right,1588319928.76,-0.36429744554
left,1588319928.76,-0.358504946791
