wheel,timestamp,state
left,1588322446.12,0.429297592625
right,1588322446.12,0.442605071696
left,1588322446.12,0.437633344044
right,1588322446.13,0.450678094084
left,1588322446.13,0.445803578837
left,1588322446.14,0.45381153635
right,1588322446.14,0.458591139652
left,1588322446.15,0.461660426342
right,1588322446.15,0.466347377783
left,1588322446.16,0.469353396446
right,1588322446.16,0.473949915974
left,1588322446.17,0.476893478999
right,1588322446.17,0.48140180102
left,1588322446.18,0.48428365689
right,1588322446.18,0.488706020817
left,1588322446.19,0.491526802001
right,1588322446.19,0.495865501837
left,1588322446.2,0.498625799031
right,1588322446.2,0.502883021423
left,1588322446.21,0.505583412274
right,1588322446.21,0.509761451912
left,1588322446.22,0.512402441716
 right,1588322446.22,0.516503625546
left,1588322446.23,0.519085989915
right,1588322446.23,0.523112270994
left,1588322446.24,0.525637678909
right,1588322446.24,0.529590322979
left,1588322446.25,0.532061610704
right,1588322446.25,0.535938493946
left,1588322446.26,0.538360389773
 right,1588322446.26,0.542158972569
left,1588322446.27,0.544531420319
right,1588322446.27,0.548246922955
left,1588322446.28,0.55058232102
right,1588322446.28,0.55420345982
right,1588322446.29,0.560026169352
left,1588322446.29,0.55650475855
right,1588322446.3,0.565717402952
left,1588322446.3,0.562318348223
right,1588322446.31,0.571275530587
left,1588322446.31,0.567997202569
right,1588322446.32,0.576707965736
left,1588322446.32,0.573577355049
right,1588322446.33,0.582015153134
left,1588322446.33,0.579029011615
right,1588322446.34,0.587198713762
left,1588322446.35,0.584359902905
right,1588322446.35,0.592256782729
left,1588322446.35,0.589557482296
right,1588322446.36,0.597179643267
left,1588322446.36,0.594600240236
right,1588322446.37,0.601969505401
left,1588322446.37,0.599491386687
left,1588322446.38,0.604272394787
right,1588322446.38,0.606633416006
left,1588322446.39,0.608900185238
right,1588322446.39,0.611162573236
left,1588322446.4,0.613383613972
right,1588322446.4,0.615567495939
right,1588322446.41,0.619784507469
left,1588322446.41,0.617624998698
right,1588322446.42,0.623889248388
left,1588322446.42,0.621733541172
right,1588322446.43,0.627890570587
left,1588322446.43,0.625739655405
right,1588322446.44,0.631791856866
left,1588322446.44,0.629644830315
right,1588322446.45,0.635591708838
